Date,Open,High,Low,Close,Volume
2018-06-11,4059.43896484375,4059.43896484375,4059.43896484375,4059.43896484375,0.0
2018-06-12,4059.43896484375,4059.43896484375,4059.43896484375,4059.43896484375,0.0
2018-06-13,4059.43896484375,4059.43896484375,4059.43896484375,4059.43896484375,0.0
2018-06-14,4059.43896484375,4059.43896484375,4059.43896484375,4059.43896484375,0.0
2018-06-15,4059.43896484375,4059.43896484375,4059.43896484375,4059.43896484375,0.0
2018-06-18,4059.43896484375,4059.43896484375,4059.43896484375,4059.43896484375,0.0
2018-06-19,4059.43896484375,4059.43896484375,4059.43896484375,4059.43896484375,0.0
2018-06-20,4013.8273528343025,4018.388520280705,3858.7476596566135,3922.60400390625,253439000.0
2018-06-21,3945.4094881819774,4004.7046596806663,3858.7473144531245,3858.747314453125,90593500.0
2018-06-22,3904.359521985462,4000.1440429687505,3849.6255099950117,4000.14404296875,96509500.0
2018-06-25,4000.1435678842904,4100.489244615709,3981.8988993876687,4050.31640625,62513000.0
2018-06-26,4032.0719492415933,4068.5612881487573,3899.798095703125,3899.798095703125,54763500.0
2018-06-27,3904.359395583285,3959.0934058017424,3895.2370605468755,3895.237060546875,67309500.0
2018-06-28,3899.798146978483,3899.798146978483,3817.6971333578836,3822.25830078125,118098500.0
2018-06-29,3822.258449141443,3918.0429687499995,3799.452611139406,3918.04296875,119188000.0
2018-07-02,3949.971029214926,3949.971029214926,3908.9205219829005,3913.481689453125,59441500.0
2018-07-03,3940.8490594660193,3945.4102273589197,3758.40234375,3758.40234375,73038000.0
2018-07-04,3826.819236728412,3904.3590782354236,3776.6463981062275,3872.430908203125,61994500.0
2018-07-05,3840.5027381708255,3886.1144096455387,3831.380403875883,3872.430908203125,34144000.0
2018-07-06,3826.819111339793,3840.5026123338566,3817.6967773437505,3817.69677734375,37609000.0
2018-07-09,3867.869836258562,4013.8271885702056,3845.0639999598675,3995.58251953125,80049500.0
2018-07-10,3986.4601850117724,4013.8271885702056,3904.3591743364727,3995.58251953125,116639500.0
2018-07-11,3922.604031792413,4095.9283959878917,3922.604031792413,4073.12255859375,95570000.0
2018-07-12,4050.316521768894,4178.029204887733,4045.7553545146498,4164.345703125,79008000.0
2018-07-13,4196.274281521444,4209.957784613362,4159.784939942997,4200.83544921875,73936000.0
2018-07-16,4205.396088471283,4219.07958984375,4178.029085726352,4219.07958984375,71571000.0
2018-07-17,4182.58992002716,4196.273420310781,4109.611251847841,4146.1005859375,30322000.0
2018-07-18,4187.15102833715,4232.7626953125,4187.15102833715,4232.7626953125,80090500.0
